tabu_iteraciones, tabu_costo, tabu_tiempo, recocido_iteraciones, recocido_costo, recocido_tiempo, cantidad productos, quien_gano
1000, 7400000, 179, 1000, 7170000, 4, 41, Recocido
1000, 8190000, 203, 1000, 8000000, 2, 41, Recocido
1000, 7400000, 159, 1000, 7220000, 1, 42, Recocido
1000, 9450000, 201, 1000, 9330000, 1, 47, Recocido
1000, 7790000, 155, 1000, 7850000, 1, 43, Tabu
1000, 10340000, 182, 1000, 10120000, 1, 46, Recocido
1000, 10340000, 188, 1000, 10250000, 1, 49, Recocido
1000, 8600000, 133, 1000, 8380000, 1, 42, Recocido
1000, 10340000, 178, 1000, 10170000, 0, 48, Recocido
1000, 8600000, 187, 1000, 8450000, 1, 45, Recocido
1000, 12740000, 227, 1000, 12470000, 0, 49, Recocido
1000, 7020000, 139, 1000, 6830000, 1, 43, Recocido
1000, 8190000, 131, 1000, 7900000, 1, 41, Recocido
1000, 10800000, 194, 1000, 10750000, 1, 48, Recocido
1000, 7790000, 137, 1000, 7740000, 1, 43, Recocido
1000, 7020000, 118, 1000, 6850000, 1, 41, Recocido
1000, 9020000, 161, 1000, 8800000, 1, 43, Recocido
1000, 9450000, 153, 1000, 9300000, 1, 45, Recocido
1000, 9020000, 169, 1000, 8820000, 1, 47, Recocido
1000, 9890000, 135, 1000, 9760000, 1, 43, Recocido
1000, 10340000, 222, 1000, 10160000, 1, 49, Recocido
1000, 8190000, 116, 1000, 7960000, 1, 41, Recocido
1000, 11750000, 210, 1000, 11640000, 1, 48, Recocido
1000, 9890000, 168, 1000, 9710000, 1, 47, Recocido
1000, 9020000, 139, 1000, 8850000, 0, 43, Recocido
1000, 9020000, 175, 1000, 8900000, 1, 45, Recocido
1000, 7790000, 126, 1000, 7580000, 1, 42, Recocido
1000, 10340000, 147, 1000, 10080000, 1, 44, Recocido
1000, 10800000, 204, 1000, 10530000, 1, 48, Recocido
1000, 10800000, 202, 1000, 10530000, 1, 49, Recocido
1000, 11270000, 217, 1000, 11010000, 0, 49, Recocido
1000, 7400000, 117, 1000, 7200000, 0, 41, Recocido
1000, 9890000, 182, 1000, 9760000, 1, 47, Recocido
1000, 9020000, 140, 1000, 8770000, 1, 43, Recocido
1000, 7790000, 150, 1000, 7510000, 2, 41, Recocido
1000, 9020000, 201, 1000, 8790000, 1, 44, Recocido
1000, 9450000, 205, 1000, 9350000, 1, 45, Recocido
1000, 8600000, 134, 1000, 8290000, 0, 41, Recocido
1000, 7790000, 138, 1000, 7550000, 1, 42, Recocido
1000, 10800000, 188, 1000, 10660000, 0, 49, Recocido
1000, 10340000, 180, 1000, 10110000, 1, 48, Recocido
1000, 10340000, 177, 1000, 10150000, 0, 45, Recocido
1000, 10340000, 179, 1000, 10100000, 1, 48, Recocido
1000, 9890000, 143, 1000, 9610000, 1, 44, Recocido
1000, 7790000, 118, 1000, 7640000, 0, 41, Recocido
1000, 8190000, 124, 1000, 7900000, 1, 42, Recocido
1000, 11270000, 215, 1000, 11140000, 1, 49, Recocido
1000, 10340000, 140, 1000, 10050000, 1, 44, Recocido
1000, 9450000, 150, 1000, 9230000, 0, 45, Recocido
1000, 9020000, 140, 1000, 8930000, 1, 43, Recocido
